500 7500
385 62 95
386 50 21
387 54 54
388 63 52
389 97 93
390 88 2
391 25 94
392 57 96
393 49 49
394 34 64
395 42 29
396 45 71
397 81 63
398 73 7
399 78 74
400 96 96
401 34 43
402 37 5
403 72 52
404 96 72
405 38 58
406 100 8
407 50 30
408 71 12
409 38 54
410 61 80
411 97 43
412 44 81
413 80 79
414 84 94
415 32 95
416 44 75
417 56 11
418 34 29
419 39 60
420 86 72
421 58 71
422 78 36
423 42 73
424 64 79
425 87 89
426 37 82
427 75 25
428 33 56
429 40 43
430 69 60
431 40 21
432 72 69
433 28 73
434 50 97
435 47 63
436 39 99
437 74 40
438 31 98
439 35 65
440 60 45
441 80 54
442 42 83
443 65 1
444 32 76
445 34 9
446 62 85
447 93 54
448 68 80
449 48 91
450 43 17
451 47 88
452 34 78
453 67 22
454 86 73
455 70 43
456 93 85
457 52 8
458 52 61
459 89 99
460 88 32
461 90 36
462 30 52
463 35 36
464 81 69
465 98 62
466 27 38
467 79 28
468 77 16
469 32 54
470 55 52
471 50 46
472 98 2
473 94 82
474 37 55
475 61 84
476 40 84
477 79 67
478 100 14
479 75 8
480 52 81
481 32 93
482 30 66
483 64 99
484 95 34
485 40 95
486 39 18
487 93 78
488 42 45
489 64 28
490 44 61
491 39 49
492 81 12
493 73 23
494 38 88
495 50 77
496 33 24
497 66 80
498 57 91
499 62 24
500 75 8
501 54 62
502 95 58
503 72 44
504 83 11
505 35 18
506 52 9
507 85 46
508 46 84
509 27 25
510 29 100
511 77 34
512 64 46
513 28 43
514 40 29
515 83 44
516 68 78
517 54 32
518 73 53
519 29 100
520 55 6
521 69 90
522 80 48
523 81 52
524 29 24
525 58 97
526 41 2
527 30 13
528 68 60
529 78 68
530 97 76
531 72 9
532 72 51
533 50 95
534 86 75
535 37 78
536 96 92
537 62 3
538 91 78
539 84 20
540 35 4
541 68 96
542 87 78
543 37 89
544 64 35
545 53 41
546 30 74
547 32 93
548 58 88
549 74 9
550 100 60
551 37 16
552 92 93
553 64 76
554 44 47
555 62 87
556 96 57
557 95 91
558 63 35
559 88 49
560 68 30
561 62 88
562 68 19
563 66 18
564 95 67
565 72 44
566 51 63
567 38 26
568 70 5
569 48 45
570 53 25
571 59 35
572 38 15
573 58 96
574 71 86
575 41 27
576 83 81
577 36 66
578 45 85
579 72 68
580 94 48
581 52 61
582 91 30
583 76 73
584 88 95
585 48 47
586 99 8
587 39 60
588 78 64
589 74 80
590 70 25
591 69 72
592 94 37
593 92 95
594 65 16
595 33 18
596 44 30
597 64 9
598 56 43
599 75 78
600 49 68
601 46 18
602 67 96
603 53 2
604 77 50
605 93 94
606 92 95
607 43 64
608 36 50
609 42 53
610 38 88
611 67 11
612 85 75
613 83 16
614 27 53
615 92 64
616 78 36
617 66 44
618 82 60
619 27 54
620 99 21
621 99 30
622 69 86
623 35 9
624 55 53
625 65 87
626 82 88
627 76 63
628 33 32
629 97 98
630 52 89
631 66 43
632 89 12
633 46 79
634 55 26
635 31 80
636 64 90
637 46 9
638 98 42
639 67 79
640 56 73
641 30 7
642 63 11
643 58 20
644 64 57
645 36 53
646 47 49
647 75 60
648 96 37
649 56 76
650 48 33
651 97 14
652 31 38
653 82 30
654 75 22
655 27 86
656 64 39
657 25 83
658 30 62
659 76 17
660 93 60
661 97 61
662 54 85
663 32 1
664 29 33
665 37 2
666 62 4
667 77 83
668 77 88
669 54 9
670 57 61
671 62 58
672 63 58
673 40 87
674 41 9
675 39 79
676 85 75
677 42 5
678 27 61
679 76 17
680 53 54
681 74 35
682 57 59
683 81 58
684 45 38
685 60 54
686 89 75
687 48 59
688 47 69
689 73 5
690 63 24
691 26 79
692 36 24
693 76 74
694 70 1
695 47 7
696 59 36
697 88 53
698 100 56
699 32 61
700 65 67
701 58 72
702 26 56
703 39 65
704 31 59
705 37 98
706 35 12
707 86 29
708 83 94
709 49 53
710 62 43
711 79 53
712 39 57
713 78 17
714 53 27
715 64 78
716 61 38
717 63 76
718 87 78
719 90 48
720 32 60
721 94 80
722 41 58
723 48 7
724 45 73
725 98 98
726 77 45
727 92 81
728 42 67
729 82 11
730 87 17
731 64 25
732 38 7
733 67 7
734 82 65
735 91 30
736 90 48
737 83 98
738 50 28
739 60 61
740 42 38
741 48 26
742 50 14
743 84 88
744 40 61
745 42 46
746 77 46
747 57 66
748 80 47
749 95 49
750 39 57
751 47 41
752 47 22
753 79 48
754 47 22
755 37 99
756 49 68
757 41 57
758 63 63
759 36 20
760 54 44
761 29 95
762 51 7
763 31 77
764 33 80
765 58 100
766 57 97
767 64 36
768 55 81
769 31 45
770 69 40
771 30 20
772 35 55
773 56 71
774 64 58
775 97 38
776 91 36
777 86 25
778 58 97
779 33 57
780 97 7
781 68 3
782 65 71
783 97 60
784 49 61
785 87 18
786 43 4
787 58 50
788 85 2
789 99 17
790 56 26
791 99 38
792 89 54
793 80 48
794 78 49
795 25 4
796 69 73
797 53 26
798 97 80
799 76 36
800 100 70
801 95 100
802 94 44
803 81 77
804 71 14
805 71 92
806 39 95
807 93 90
808 95 81
809 41 25
810 47 61
811 61 95
812 49 47
813 36 46
814 73 60
815 84 44
816 38 68
817 52 81
818 65 95
819 30 2
820 61 54
821 30 46
822 68 1
823 94 53
824 43 65
825 59 90
826 90 51
827 56 75
828 35 85
829 79 39
830 41 72
831 54 51
832 57 43
833 44 44
834 44 91
835 30 98
836 46 41
837 31 63
838 30 26
839 59 90
840 92 35
841 41 23
842 80 21
843 47 81
844 78 54
845 81 27
846 63 90
847 82 34
848 79 64
849 34 65
850 29 93
851 79 31
852 29 36
853 48 81
854 31 71
855 99 11
856 56 79
857 51 76
858 54 73
859 72 29
860 70 43
861 36 34
862 37 52
863 89 24
864 35 16
865 36 48
866 97 29
867 40 55
868 85 23
869 85 67
870 66 54
871 54 16
872 71 43
873 41 9
874 25 50
875 86 63
876 88 11
877 71 49
878 100 71
879 51 21
880 98 75
881 25 76
882 30 81
883 70 44
884 43 53
885 37 42
886 30 63
887 66 55
888 70 36
889 80 12
890 73 18
891 77 44
892 62 48
893 65 49
894 74 40
895 96 22
896 70 89
897 82 37
898 96 44
899 74 39
900 50 63
901 61 76
902 45 57
903 27 30
904 84 7
905 74 42
906 55 27
907 97 23
908 38 97
909 86 10
910 62 51
911 66 5
912 41 66
913 85 72
914 97 12
915 26 18
916 94 40
917 43 55
918 33 10
919 72 92
920 61 4
921 32 44
922 25 69
923 43 96
924 82 84
925 78 91
926 41 86
927 52 69
928 34 44
929 69 39
930 81 78
931 70 74
932 72 87
933 97 18
934 96 85
935 86 88
936 89 64
937 36 27
938 98 71
939 32 14
940 52 89
941 39 13
942 54 47
943 98 12
944 95 72
945 45 55
946 31 10
947 84 12
948 76 100
949 45 92
950 60 75
951 84 93
952 34 93
953 96 17
954 56 43
955 56 43
956 93 85
957 67 75
958 63 1
959 76 44
960 86 19
961 97 26
962 92 62
963 36 100
964 61 63
965 26 85
966 100 5
967 42 44
968 57 60
969 77 1
970 59 38
971 40 52
972 70 7
973 54 91
974 48 19
975 63 15
976 38 4
977 71 40
978 25 97
979 78 1
980 55 18
981 32 24
982 41 44
983 31 58
984 47 99
985 87 20
986 57 8
987 50 18
988 69 31
989 26 12
990 95 73
991 51 84
992 83 28
993 97 6
994 99 50
995 44 33
996 99 31
997 65 82
998 68 96
999 97 55
1000 45 66
1001 92 17
1002 77 36
1003 28 68
1004 72 27
1005 28 85
1006 42 93
1007 60 33
1008 91 10
1009 94 70
1010 79 35
1011 47 65
1012 85 96
1013 44 85
1014 48 79
1015 49 91
1016 32 79
1017 100 2
1018 39 65
1019 69 91
1020 83 64
1021 79 100
1022 86 22
1023 58 50
1024 83 2
1025 75 50
1026 29 20
1027 53 30
1028 65 79
1029 66 83
1030 31 57
1031 87 40
1032 39 87
1033 51 47
1034 28 50
1035 53 89
1036 56 64
1037 65 42
1038 90 23
1039 84 41
1040 94 95
1041 78 50
1042 95 62
1043 70 54
1044 75 92
1045 35 100
1046 98 53
1047 37 37
1048 99 80
1049 89 17
1050 82 95
1051 31 38
1052 45 75
1053 40 49
1054 67 1
1055 51 10
1056 83 40
1057 80 71
1058 37 38
1059 81 92
1060 68 90
1061 90 44
1062 69 14
1063 77 62
1064 85 5
1065 29 95
1066 81 77
1067 40 57
1068 46 36
1069 69 9
1070 83 64
1071 55 5
1072 40 26
1073 32 85
1074 85 79
1075 75 75
1076 93 30
1077 50 16
1078 55 61
1079 45 24
1080 84 39
1081 90 43
1082 67 49
1083 28 93
1084 71 2
1085 88 66
1086 82 14
1087 72 75
1088 69 95
1089 35 22
1090 89 52
1091 65 16
1092 34 90
1093 62 91
1094 58 95
1095 91 72
1096 96 39
1097 29 65
1098 38 62
1099 57 56
1100 48 96
1101 35 100
1102 67 91
1103 25 4
1104 50 23
1105 38 13
1106 57 53
1107 95 88
1108 77 36
1109 53 75
1110 43 20
1111 67 10
1112 72 98
1113 86 46
1114 28 2
1115 60 45
1116 85 19
1117 47 22
1118 56 45
1119 71 33
1120 66 59
1121 60 57
1122 31 51
1123 75 30
1124 41 54
1125 77 14
1126 94 90
1127 39 28
1128 57 69
1129 81 27
1130 94 49
1131 34 62
1132 38 59
1133 73 63
1134 96 20
1135 28 33
1136 45 29
1137 62 89
1138 26 22
1139 27 88
1140 36 52
1141 98 16
1142 31 62
1143 54 42
1144 28 95
1145 59 3
1146 40 58
1147 61 94
1148 94 91
1149 89 58
1150 51 16
1151 62 50
1152 67 96
1153 33 78
1154 57 32
1155 27 88
1156 92 57
1157 44 45
1158 48 10
1159 42 35
1160 69 40
1161 78 84
1162 45 96
1163 44 55
1164 39 47
1165 32 85
1166 54 43
1167 31 9
1168 40 81
1169 33 72
1170 74 10
1171 30 9
1172 100 15
1173 34 62
1174 52 81
1175 27 47
1176 28 56
1177 41 66
1178 41 99
1179 52 90
1180 98 13
1181 94 92
1182 26 35
1183 96 95
1184 51 6
1185 33 48
1186 52 21
1187 46 73
1188 100 32
1189 88 56
1190 51 97
1191 96 13
1192 73 35
1193 79 43
1194 69 62
1195 61 38
1196 28 98
1197 74 82
1198 38 18
1199 65 92
1200 77 69
1201 98 28
1202 29 64
1203 32 61
1204 92 43
1205 44 30
1206 58 55
1207 45 49
1208 90 6
1209 52 80
1210 27 100
1211 92 37
1212 61 33
1213 35 27
1214 65 96
1215 28 47
1216 73 67
1217 73 5
1218 78 19
1219 94 2
1220 84 80
1221 100 56
1222 37 58
1223 61 48
1224 31 44
1225 47 71
1226 33 12
1227 40 29
1228 93 25
1229 77 21
1230 34 75
1231 41 42
1232 83 87
1233 76 45
1234 34 37
1235 49 70
1236 69 55
1237 81 3
1238 64 82
1239 94 97
1240 89 54
1241 46 97
1242 53 96
1243 48 62
1244 76 84
1245 73 24
1246 61 63
1247 42 47
1248 51 47
1249 80 13
1250 64 21
1251 81 70
1252 69 32
1253 60 65
1254 31 47
1255 45 2
1256 90 1
1257 29 10
1258 57 97
1259 66 28
1260 99 80
1261 62 27
1262 87 58
1263 73 74
1264 93 46
1265 43 99
1266 72 54
1267 71 31
1268 79 50
1269 33 60
1270 69 71
1271 64 86
1272 63 93
1273 68 53
1274 38 88
1275 31 62
1276 85 80
1277 56 100
1278 67 63
1279 73 4
1280 69 35
1281 81 32
1282 43 98
1283 83 78
1284 79 22
1285 63 74
1286 25 89
1287 62 64
1288 80 45
1289 32 25
1290 94 69
1291 62 8
1292 58 4
1293 51 39
1294 38 47
1295 57 96
1296 37 94
1297 100 49
1298 74 71
1299 27 57
1300 79 16
1301 57 11
1302 90 57
1303 87 61
1304 88 36
1305 29 36
1306 37 51
1307 36 51
1308 73 87
1309 99 91
1310 99 78
1311 67 96
1312 73 21
1313 38 75
1314 76 61
1315 68 74
1316 36 66
1317 52 4
1318 78 14
1319 85 2
1320 30 57
1321 67 26
1322 63 73
1323 39 99
1324 38 85
1325 76 16
1326 79 8
1327 75 71
1328 39 49
1329 60 37
1330 55 37
1331 89 96
1332 36 49
1333 26 6
1334 35 82
1335 63 4
1336 39 100
1337 33 65
1338 77 73
1339 46 20
1340 27 43
1341 93 72
1342 82 83
1343 42 54
1344 29 74
1345 79 15
1346 53 62
1347 99 100
1348 63 62
1349 37 99
1350 63 64
1351 92 46
1352 78 56
1353 33 69
1354 36 8
1355 95 62
1356 59 46
1357 68 89
1358 72 96
1359 25 31
1360 42 53
1361 28 34
1362 41 14
1363 63 37
1364 78 65
1365 30 93
1366 69 43
1367 77 36
1368 43 89
1369 90 57
1370 45 55
1371 46 42
1372 74 85
1373 52 76
1374 40 19
1375 31 32
1376 31 73
1377 96 26
1378 92 30
1379 49 67
1380 90 76
1381 63 30
1382 84 30
1383 32 67
1384 30 87
1385 100 3
1386 63 50
1387 43 99
1388 51 45
1389 29 80
1390 40 64
1391 69 83
1392 73 25
1393 60 20
1394 38 88
1395 31 37
1396 48 92
1397 38 80
1398 89 10
1399 68 73
1400 53 33
1401 95 81
1402 98 30
1403 28 9
1404 29 61
1405 30 60
1406 41 18
1407 32 73
1408 68 73
1409 31 28
1410 37 25
1411 99 10
1412 69 47
1413 42 31
1414 59 77
1415 49 87
1416 31 11
1417 55 50
1418 74 45
1419 64 32
1420 69 55
1421 29 92
1422 49 39
1423 94 95
1424 98 17
1425 33 95
1426 81 59
1427 60 91
1428 75 6
1429 61 39
1430 36 83
1431 99 12
1432 72 19
1433 67 52
1434 44 52
1435 92 61
1436 96 30
1437 47 96
1438 54 5
1439 44 7
1440 92 21
1441 55 93
1442 61 62
1443 76 76
1444 38 4
1445 58 56
1446 36 19
1447 59 17
1448 27 90
1449 68 6
1450 85 4
1451 53 33
1452 31 9
1453 47 78
1454 34 62
1455 60 94
1456 62 36
1457 75 51
1458 38 42
1459 87 18
1460 53 14
1461 28 15
1462 40 68
1463 49 17
1464 94 82
1465 37 39
1466 57 70
1467 51 22
1468 96 28
1469 71 82
1470 39 23
1471 48 63
1472 56 50
1473 56 11
1474 62 69
1475 86 16
1476 90 48
1477 100 41
1478 32 93
1479 70 74
1480 46 24
1481 53 51
1482 39 44
1483 83 46
1484 58 18
1485 78 17
1486 34 100
1487 49 10
1488 94 82
1489 71 73
1490 84 21
1491 35 42
1492 50 66
1493 64 7
1494 37 100
1495 43 60
1496 83 20
1497 27 9
1498 25 54
1499 84 89
1500 80 88
1501 98 62
1502 77 46
1503 41 14
1504 79 99
1505 76 27
1506 68 37
1507 94 20
1508 81 61
1509 99 24
1510 62 93
1511 61 23
1512 78 61
1513 77 55
1514 96 67
1515 60 82
1516 94 74
1517 92 21
1518 92 60
1519 48 78
1520 40 46
1521 93 55
1522 83 88
1523 33 39
1524 39 54
1525 70 21
1526 79 67
1527 77 3
1528 42 94
1529 47 36
1530 48 19
1531 47 5
1532 60 91
1533 78 45
1534 53 42
1535 77 88
1536 89 63
1537 100 2
1538 49 100
1539 78 49
1540 35 1
1541 58 90
1542 52 52
1543 46 70
1544 46 50
1545 48 7
1546 79 67
1547 65 68
1548 27 25
1549 59 46
1550 35 42
1551 92 32
1552 92 7
1553 96 23
1554 82 100
1555 55 25
1556 68 31
1557 81 71
1558 100 19
1559 40 30
1560 55 16
1561 87 5
1562 76 34
1563 84 58
1564 96 79
1565 51 81
1566 52 4
1567 71 1
1568 82 51
1569 36 73
1570 35 33
1571 91 56
1572 38 42
1573 67 75
1574 79 70
1575 98 65
1576 83 90
1577 41 14
1578 90 20
1579 54 24
1580 37 75
1581 56 51
1582 26 25
1583 52 64
1584 27 15
1585 74 45
1586 36 65
1587 86 52
1588 27 87
1589 50 43
1590 27 13
1591 64 76
1592 74 40
1593 37 46
1594 58 38
1595 81 8
1596 36 45
1597 31 30
1598 47 29
1599 29 22
1600 83 53
1601 26 2
1602 94 41
1603 86 94
1604 31 57
1605 52 27
1606 79 34
1607 37 93
1608 98 5
1609 71 43
1610 54 34
1611 35 10
1612 34 51
1613 36 2
1614 56 5
1615 31 75
1616 35 18
1617 31 89
1618 32 46
1619 39 22
1620 32 58
1621 91 33
1622 91 64
1623 27 94
1624 40 98
1625 54 21
1626 65 47
1627 28 10
1628 44 83
1629 56 21
1630 49 4
1631 25 40
1632 84 87
1633 74 69
1634 60 30
1635 82 13
1636 59 34
1637 63 52
1638 43 36
1639 56 48
1640 38 54
1641 82 26
1642 28 9
1643 97 33
1644 58 70
1645 76 95
1646 63 24
1647 51 50
1648 87 13
1649 28 20
1650 84 50
1651 88 64
1652 88 31
1653 89 50
1654 63 6
1655 73 83
1656 30 69
1657 69 54
1658 44 60
1659 87 11
1660 74 93
1661 72 1
1662 60 57
1663 82 14
1664 31 21
1665 80 79
1666 26 63
1667 70 74
1668 28 79
1669 30 51
1670 60 10
1671 32 78
1672 78 88
1673 57 16
1674 28 29
1675 61 46
1676 45 36
1677 94 60
1678 71 94
1679 80 59
1680 43 19
1681 48 84
1682 45 60
1683 76 92
1684 61 85
1685 57 31
1686 100 23
1687 29 94
1688 34 66
1689 44 53
1690 42 18
1691 72 88
1692 92 30
1693 95 77
1694 95 65
1695 49 2
1696 65 63
1697 27 9
1698 59 31
1699 68 45
1700 73 64
1701 99 38
1702 44 33
1703 77 70
1704 88 58
1705 44 6
1706 58 86
1707 31 83
1708 89 60
1709 29 57
1710 84 22
1711 35 15
1712 82 48
1713 33 71
1714 47 78
1715 100 11
1716 45 63
1717 26 57
1718 63 71
1719 87 47
1720 45 14
1721 90 84
1722 51 38
1723 89 53
1724 39 43
1725 86 90
1726 53 76
1727 56 1
1728 90 78
1729 84 58
1730 71 11
1731 91 38
1732 53 12
1733 38 67
1734 46 23
1735 44 83
1736 76 95
1737 82 42
1738 38 57
1739 32 87
1740 40 2
1741 50 98
1742 81 3
1743 48 92
1744 49 37
1745 45 46
1746 63 48
1747 82 52
1748 51 8
1749 74 7
1750 98 62
1751 80 79
1752 28 83
1753 81 50
1754 83 8
1755 41 74
1756 52 21
1757 77 29
1758 63 19
1759 61 90
1760 80 14
1761 91 95
1762 35 67
1763 48 53
1764 49 85
1765 58 19
1766 41 72
1767 49 73
1768 76 9
1769 47 63
1770 42 76
1771 31 54
1772 61 34
1773 98 53
1774 43 10
1775 88 13
1776 46 39
1777 80 3
1778 25 77
1779 29 23
1780 95 83
1781 38 24
1782 50 49
1783 62 25
1784 41 8
1785 72 53
1786 56 19
1787 28 87
1788 73 35
1789 63 69
1790 26 43
1791 71 100
1792 44 82
1793 46 16
1794 93 10
1795 27 71
1796 89 8
1797 42 1
1798 66 18
1799 73 90
1800 30 23
1801 54 75
1802 31 62
1803 32 96
1804 87 37
1805 64 59
1806 31 84
1807 52 96
1808 73 19
1809 62 84
1810 76 71
1811 98 91
1812 42 4
1813 39 6
1814 97 88
1815 89 85
1816 61 56
1817 89 68
1818 73 77
1819 35 74
1820 85 35
1821 60 46
1822 95 6
1823 83 78
1824 45 21
1825 27 77
1826 81 82
1827 95 68
1828 56 78
1829 84 25
1830 27 64
1831 95 93
1832 34 37
1833 63 10
1834 39 80
1835 69 42
1836 43 54
1837 41 84
1838 58 62
1839 47 69
1840 25 64
1841 85 68
1842 82 31
1843 89 36
1844 47 74
1845 77 43
1846 71 50
1847 89 57
1848 75 69
1849 69 37
1850 50 91
1851 49 93
1852 45 55
1853 64 81
1854 48 13
1855 48 5
1856 80 48
1857 65 98
1858 28 58
1859 85 18
1860 40 79
1861 91 54
1862 85 73
1863 56 45
1864 62 7
1865 92 18
1866 99 78
1867 35 58
1868 26 64
1869 78 92
1870 52 98
1871 92 82
1872 75 17
1873 53 100
1874 62 86
1875 50 28
1876 67 61
1877 71 14
1878 56 43
1879 38 26
1880 40 92
1881 64 100
1882 33 9
1883 30 94
1884 28 63
1885 91 8
1886 68 20
1887 94 31
1888 74 98
1889 70 42
1890 78 91
1891 40 65
1892 51 19
1893 48 3
1894 31 4
1895 39 84
1896 41 29
1897 48 48
1898 52 10
1899 67 32
1900 41 40
1901 49 88
1902 56 98
1903 90 85
1904 72 23
1905 81 29
1906 45 88
1907 47 27
1908 61 49
1909 78 54
1910 51 58
1911 72 13
1912 27 100
1913 41 28
1914 77 6
1915 55 78
1916 82 88
1917 64 64
1918 82 76
1919 76 62
1920 86 85
1921 84 33
1922 45 53
1923 27 97
1924 72 45
1925 63 88
1926 65 47
1927 88 90
1928 93 88
1929 46 37
1930 66 40
1931 46 13
1932 57 44
1933 79 55
1934 47 7
1935 62 64
1936 38 62
1937 57 38
1938 38 38
1939 74 99
1940 69 34
1941 42 73
1942 78 42
1943 90 8
1944 83 32
1945 44 86
1946 97 71
1947 86 98
1948 91 2
1949 64 45
1950 40 52
1951 87 85
1952 56 75
1953 95 33
1954 84 64
1955 76 93
1956 97 73
1957 31 80
1958 52 13
1959 100 19
1960 37 44
1961 27 65
1962 86 8
1963 56 13
1964 34 51
1965 49 92
1966 60 23
1967 67 43
1968 58 35
1969 39 51
1970 33 84
1971 74 65
1972 38 24
1973 49 93
1974 69 62
1975 33 56
1976 94 58
1977 36 75
1978 77 59
1979 75 14
1980 36 96
1981 72 29
1982 62 50
1983 85 75
1984 30 14
1985 27 16
1986 98 12
1987 43 60
1988 75 65
1989 61 84
1990 94 6
1991 77 16
1992 86 57
1993 72 79
1994 88 80
1995 94 34
1996 85 67
1997 63 97
1998 75 76
1999 41 78
2000 56 20
2001 92 65
2002 34 63
2003 68 47
2004 43 47
2005 71 3
2006 47 21
2007 40 44
2008 42 33
2009 44 19
2010 96 71
2011 36 13
2012 44 26
2013 39 84
2014 57 51
2015 70 75
2016 89 3
2017 48 27
2018 69 70
2019 39 37
2020 77 76
2021 58 29
2022 43 6
2023 81 86
2024 79 19
2025 94 61
2026 82 63
2027 31 91
2028 50 20
2029 32 57
2030 58 44
2031 32 38
2032 96 50
2033 33 11
2034 75 61
2035 52 80
2036 55 64
2037 39 13
2038 69 50
2039 96 80
2040 76 76
2041 48 26
2042 45 12
2043 89 56
2044 26 16
2045 70 40
2046 53 78
2047 61 75
2048 55 92
2049 61 34
2050 88 93
2051 81 6
2052 69 61
2053 63 63
2054 39 69
2055 81 68
2056 81 78
2057 75 58
2058 38 21
2059 63 59
2060 61 26
2061 93 93
2062 88 68
2063 52 35
2064 91 55
2065 98 65
2066 48 22
2067 31 66
2068 58 12
2069 83 4
2070 48 50
2071 70 54
2072 84 74
2073 46 26
2074 25 80
2075 67 40
2076 42 44
2077 38 85
2078 63 39
2079 49 99
2080 82 23
2081 38 33
2082 33 39
2083 40 9
2084 72 33
2085 45 66
2086 27 61
2087 60 96
2088 83 20
2089 83 44
2090 57 45
2091 54 52
2092 90 58
2093 67 47
2094 68 85
2095 78 99
2096 68 72
2097 37 74
2098 80 4
2099 70 61
2100 61 67
2101 30 3
2102 58 64
2103 61 64
2104 64 71
2105 87 87
2106 44 89
2107 88 5
2108 38 40
2109 53 86
2110 57 13
2111 36 6
2112 28 99
2113 100 42
2114 100 74
2115 31 40
2116 92 91
2117 28 36
2118 60 90
2119 26 7
2120 67 28
2121 93 8
2122 43 42
2123 30 44
2124 47 9
2125 38 92
2126 91 12
2127 80 21
2128 38 20
2129 36 61
2130 78 56
2131 50 34
2132 68 70
2133 35 28
2134 68 39
2135 59 53
2136 38 82
2137 74 15
2138 89 16
2139 32 23
2140 89 84
2141 50 68
